                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 1.7689,                0.95667,                0.87351,                0.44597,                0.34045,                0.33632,                0.14256,                 1.9535,                  1.063,                0.89825,              0.0029875,              0.0029875,              0.0029875
                     87,                 1.7544,                0.94751,                0.87414,                0.44478,                0.34444,                0.33549,                0.14166,                 1.9579,                 1.0619,                0.89774,               0.002905,               0.002905,               0.002905
                     88,                 1.7593,                0.94503,                0.87136,                0.44471,                0.33838,                0.33384,                0.14129,                 1.9569,                 1.0627,                0.89929,              0.0028225,              0.0028225,              0.0028225
                     89,                 1.7305,                0.93508,                0.87168,                0.45902,                0.33341,                0.33471,                 0.1418,                 1.9578,                 1.0599,                0.89926,                0.00274,                0.00274,                0.00274
                     90,                 1.7282,                  0.929,                0.86962,                 0.4563,                0.33801,                0.33769,                0.14331,                 1.9528,                 1.0566,                 0.8981,              0.0026575,              0.0026575,              0.0026575
                     91,                 1.7237,                0.92656,                 0.8703,                0.45189,                0.33761,                0.33782,                0.14382,                 1.9547,                  1.057,                0.89839,               0.002575,               0.002575,               0.002575
                     92,                 1.7439,                0.93575,                0.86525,                0.45639,                0.33571,                0.33497,                0.14296,                 1.9527,                 1.0582,                0.89902,              0.0024925,              0.0024925,              0.0024925
                     93,                 1.7217,                0.92374,                0.86626,                0.44991,                0.34199,                0.33777,                0.14318,                 1.9511,                 1.0599,                0.89891,                0.00241,                0.00241,                0.00241
                     94,                 1.7342,                0.92875,                0.86493,                0.44816,                 0.3404,                0.33675,                0.14308,                 1.9553,                 1.0619,                0.89973,              0.0023275,              0.0023275,              0.0023275
                     95,                 1.7136,                 0.9146,                0.86354,                0.46323,                0.33751,                0.33702,                0.14314,                 1.9591,                 1.0644,                0.89973,               0.002245,               0.002245,               0.002245
                     96,                 1.7153,                0.91741,                0.86399,                0.44807,                0.33837,                0.33692,                0.14399,                 1.9521,                 1.0598,                0.89908,              0.0021625,              0.0021625,              0.0021625
                     97,                 1.7459,                0.93446,                0.86642,                0.46266,                0.33595,                0.33803,                0.14408,                 1.9509,                 1.0547,                0.89896,                0.00208,                0.00208,                0.00208
                     98,                  1.698,                0.90273,                0.86145,                0.44727,                0.33656,                0.33572,                0.14346,                 1.9546,                   1.06,                0.89915,              0.0019975,              0.0019975,              0.0019975
                     99,                 1.6931,                 0.8976,                0.86258,                0.45693,                0.33507,                0.33805,                0.14422,                 1.9578,                 1.0632,                0.89941,               0.001915,               0.001915,               0.001915
                    100,                 1.6901,                0.90028,                0.86295,                0.46106,                0.33248,                0.33757,                0.14431,                 1.9592,                 1.0651,                0.89982,              0.0018325,              0.0018325,              0.0018325
                    101,                 1.6728,                0.89084,                0.86315,                0.45962,                0.33502,                0.33438,                0.14303,                 1.9572,                 1.0643,                0.89926,                0.00175,                0.00175,                0.00175
                    102,                 1.6795,                0.88948,                0.86001,                0.45141,                0.33743,                 0.3338,                0.14267,                  1.961,                 1.0661,                0.90021,              0.0016675,              0.0016675,              0.0016675
                    103,                 1.6482,                0.87999,                0.85983,                0.46311,                0.33429,                0.33519,                0.14318,                 1.9611,                 1.0672,                0.90057,               0.001585,               0.001585,               0.001585
                    104,                 1.6536,                0.87601,                 0.8593,                0.45378,                0.33363,                 0.3349,                0.14306,                 1.9577,                 1.0672,                0.90058,              0.0015025,              0.0015025,              0.0015025
                    105,                 1.6456,                0.87341,                0.86005,                0.46292,                0.33314,                0.33598,                0.14341,                 1.9568,                 1.0638,                0.90065,                0.00142,                0.00142,                0.00142
